elbow_angle,back_angle
66.90967233,128.2381099
69.62275136,125.7717105
74.00135867,125.8539928
79.22882593,124.6132858
86.15089227,123.7940525
92.49781923,122.5295383
96.43415349,122.4711923
103.510781,123.0080071
106.6421297,122.8389394
112.6791786,122.7703842
114.2920353,122.2142623
117.3992427,122.5925815
117.8018771,123.635396
117.5880814,123.8550261
122.2154093,126.5630959
121.5786881,127.2531413
123.2887858,128.2429025
125.4113431,128.7790501
128.6466664,129.9262953
131.4607562,129.8786835
132.9067306,129.2622653
132.5857829,129.6569442
134.7804117,131.5398168
135.9459632,132.2361426
136.9512058,132.8983457
136.5950974,133.2960514
135.0403907,132.3369992
133.8504761,131.4909734
135.9850095,131.902309
133.644221,131.7754774
129.420662,131.7754774
128.3138984,131.364918
127.370571,132.1975485
127.7154956,130.8085118
124.5614492,130.5391517
121.1163911,130.1240138
116.469068,129.6313447
114.2948293,129.5076754
112.4913167,130.0010357
108.3313399,129.70742
102.1607601,129.4638023
97.43267351,130.0244419
89.29136224,130.8860424
83.8475895,131.2743718
78.69172378,132.1245463
75.57561864,130.8669294
69.31884934,131.5398168
64.79696761,132.3974378
61.33763111,133.7212887
58.34364575,132.8317077
54.22523758,132.285979
52.08736243,131.6182727
50.40981328,131.7554127
46.9093725,131.0817511
42.69429979,131.6785242
39.22159264,132.0544926
35.65657309,131.0328192
33.39437935,130.8961245
31.26449103,130.247014
31.46795794,130.2681834
29.44356275,130.3852334
30.31302921,131.3045147
32.27763333,131.5278834
32.8112226,130.8403577
35.66374993,129.99608
37.83276127,130.1823566
41.13476151,130.0639759
44.48258321,130.821431
47.82314616,131.0817511
50.82517972,130.9607615
53.82822946,131.3422334
57.5689822,131.1859252
62.42178721,131.1859252
66.58799806,130.5205395
71.09402874,130.8023316
76.0266415,130.1382679
80.93260193,129.5153459
87.80492462,128.8081657
96.07871824,129.1303996
101.6152517,128.0928373
108.8565155,127.5218295
116.6422982,126.714203
119.4660481,126.4009113
123.7199901,126.8698976
128.8958393,127.0249603
131.6614446,126.9867482
135.4539577,127.1419922
136.2121166,128.6598083
137.7652163,128.3612399
140.03371,128.8370111
144.2342597,128.9275436
145.4434014,128.9275436
145.5080221,128.9559078
146.0043905,128.5411836
147.3528235,127.8583134
148.7456162,128.6598083
147.6407612,128.0727819
145.9933604,128.1889753
148.8467583,128.2204321
148.0983287,128.6887894
148.8553862,128.6311604
147.5494444,127.3455222
145.7829397,127.5242626
142.6896221,126.9793102
142.6121837,127.2291141
139.8216488,126.9775964
138.1111363,127.7197109
134.1602028,127.3641189
129.42593,126.6561084
125.6296224,126.7643807
120.8433622,125.079987
119.5741751,125.0361958
